City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,272.96,88,95,5.43,GS,1731376041
1,peace river,56.2501,-117.286,275.32,93,100,2.57,CA,1731376043
2,coquimbo,-29.9533,-71.3436,287.03,69,0,3.09,CL,1731375777
3,kamaishi,39.2667,141.8833,286.43,52,87,1.74,JP,1731376045
4,adamstown,-25.066,-130.1015,295.02,64,100,1.27,PN,1731376046
5,polyarnyy,69.1989,33.4478,275.51,88,100,6.83,RU,1731376047
6,ushuaia,-54.8,-68.3,280.96,81,75,1.03,AR,1731376048
7,iskateley,67.6803,53.1512,263.53,98,91,2.59,RU,1731376049
8,narvik,68.4384,17.4272,278.04,97,97,2.81,NO,1731376050
9,west island,-12.1568,96.8225,300.14,78,100,6.69,CC,1731376051
10,zyryanskoye,56.8306,86.6258,263.61,87,100,6.01,RU,1731376053
11,ofunato,39.0717,141.7167,287.23,45,94,1.26,JP,1731376054
12,puerto natales,-51.7236,-72.4875,279.76,87,56,5.1,CL,1731376037
13,olonkinbyen,70.9221,-8.7187,273.84,98,100,11.23,SJ,1731375980
14,edinburgh of the seven seas,-37.0676,-12.3116,286.19,78,100,6.55,SH,1731376057
15,ilulissat,69.2167,-51.1,269.16,80,75,5.58,GL,1731376058
16,albany,42.6001,-73.9662,286.51,62,100,1.34,US,1731375844
17,shahr-e babak,30.1165,55.1186,285.46,36,0,3.4,IR,1731376060
18,invercargill,-46.4,168.35,289.27,60,92,4.92,NZ,1731375970
19,ancud,-41.8697,-73.8203,283.42,88,100,4.41,CL,1731376062
20,san antonio de pale,-1.4014,5.6325,298.95,84,45,4.63,GQ,1731376064
21,port-aux-francais,-49.35,70.2167,278.14,96,100,8.29,TF,1731376065
22,la cruz,23.9167,-106.9,294.52,76,0,3.08,MX,1731376066
23,anadyr,64.75,177.4833,259.43,84,40,4.0,RU,1731376067
24,waitangi,-43.9535,-176.5597,284.09,66,46,7.47,NZ,1731376068
